Category,Problem,Algorithm,IGD_Mean,IGD_Std,IGD_Rank,IGD_PValue,IGD_Symbol,HV_Mean,HV_Std,HV_Rank,HV_PValue,HV_Symbol
C-DTLZs,C1DTLZ1,DSOCOL,0.02191695454650455,0.001251931447937823,3,1.0,=,0.2433636198405537,0.0006408721888287154,4,1.0,=
C-DTLZs,C1DTLZ1,DSOCOL1,0.021613774135527362,0.0003995008600221251,2,0.6015081344405899,=,0.24473896573069656,0.0016719262511512133,1,0.11718508719813799,=
C-DTLZs,C1DTLZ1,DSOCOL3,0.021535539719808604,0.0004964054745454587,1,0.46470209994046485,=,0.24468179306226528,0.0010835515225278772,2,0.11718508719813799,=
C-DTLZs,C1DTLZ1,DSOCOL4,0.021922753971319413,0.0003360817213657098,4,0.7540225300620748,=,0.24367893144855995,0.0011108749781744934,3,0.7540225300620748,=
DC-DTLZs,DC1DTLZ1,DSOCOL,0.07798599248518798,0.009299278517386812,2,1.0,=,0.20178437958584614,0.003686048143464837,2,1.0,=
DC-DTLZs,DC1DTLZ1,DSOCOL1,0.06867904698054952,0.008584065723558859,1,0.047201767690142206,-,0.20571685529216488,0.00438155760131667,1,0.11718508719813799,=
DC-DTLZs,DC1DTLZ1,DSOCOL3,0.09706747525292311,0.05478884231858404,4,0.34720763934942456,=,0.1876456972496085,0.03550250107289277,4,0.25059205068568424,=
DC-DTLZs,DC1DTLZ1,DSOCOL4,0.0847116803595906,0.0019416979540557498,3,0.6015081344405899,=,0.1988273551861906,0.0008928202580644615,3,0.25059205068568424,=
DAS-CMOP,DASCMOP1,DSOCOL,0.007101947938270303,0.0008054813286997799,2,1.0,=,0.757600243869254,0.0002383708695585014,3,1.0,=
DAS-CMOP,DASCMOP1,DSOCOL1,0.005022486629073687,0.0002709340218569655,1,0.009023438818080326,-,0.7580771301568462,0.0005616252257548648,1,0.11718508719813799,=
DAS-CMOP,DASCMOP1,DSOCOL3,0.007301414140700156,0.0005365058904111274,3,0.7540225300620748,=,0.7572793014224932,0.0004477386795748969,4,0.25059205068568424,=
DAS-CMOP,DASCMOP1,DSOCOL4,0.0073823461605777825,0.00012659193220987617,4,0.7540225300620748,=,0.7579533522118757,0.0004382037477157413,2,0.25059205068568424,=
DAS-CMOP,DASCMOP7,DSOCOL,2.435376606072775,0.9171738918160207,3,1.0,=,0.0,0.0,1,1.0,=
DAS-CMOP,DASCMOP7,DSOCOL1,3.1074206271243865,2.020733251137932,4,0.9168149485280885,=,0.0,0.0,2,1.0,=
DAS-CMOP,DASCMOP7,DSOCOL3,2.284843957021483,0.7053069085166987,1,0.7540225300620748,=,0.0,0.0,3,1.0,=
DAS-CMOP,DASCMOP7,DSOCOL4,2.389157585897806,0.849883332559024,2,0.9168149485280885,=,0.0,0.0,4,1.0,=
LIR-CMOP,LIRCMOP1,DSOCOL,0.12674666600105983,0.03208320423439442,2,1.0,=,0.645846762850241,0.044119527827894016,1,1.0,=
LIR-CMOP,LIRCMOP1,DSOCOL1,0.3197717529480936,0.0458444216012498,4,0.009023438818080326,+,0.3240973484206345,0.16797289405957783,4,0.009023438818080326,+
LIR-CMOP,LIRCMOP1,DSOCOL3,0.12066641840419155,0.034251050269558304,1,0.6015081344405899,=,0.396485927440884,0.3238914176470268,3,0.34720763934942456,=
LIR-CMOP,LIRCMOP1,DSOCOL4,0.1702334981348042,0.10480789494261598,3,0.34720763934942456,=,0.5070223608217096,0.2631835938537275,2,0.6015081344405899,=
LIR-CMOP,LIRCMOP13,DSOCOL,1.3270318444494027,0.0026432628138916294,4,1.0,=,0.0076312983832780385,0.003922943553968869,4,1.0,=
LIR-CMOP,LIRCMOP13,DSOCOL1,1.325630293242561,0.003855513900132954,2,0.46470209994046485,=,0.01404904986054649,0.003404859018715087,1,0.07580017458236125,=
LIR-CMOP,LIRCMOP13,DSOCOL3,1.3253752225899154,0.0027175483564191656,1,0.7540225300620748,=,0.008898085952837951,0.004998768409728497,3,0.6015081344405899,=
LIR-CMOP,LIRCMOP13,DSOCOL4,1.3264216339442858,0.0013990245055694474,3,0.9168149485280885,=,0.011846095597909993,0.003236491235942286,2,0.11718508719813799,=
