Category, Problem  , Algorithm, Runs, IGD_Mean            , IGD_Std              , IGD_Median           , IGD_Min             , IGD_Max              , HV_Mean              , HV_Std                , HV_Median           , HV_Min               , HV_Max              , Time_Mean
C-DTLZs , C1DTLZ1  , APSEA    ,    5, 0.023052672714196826, 0.001969860023576596 , 0.023060935238462886 , 0.02075019992777778 , 0.02599777297604251  , 0.23944330100304909  , 0.004066780562929925  , 0.238707878525561   , 0.23476791233687921  , 0.2451701877648372  ,  53.381430441799964
C-DTLZs , C1DTLZ1  , CMOCSO   ,    5, 0.02240192803129664 , 0.0012910763444224484, 0.022908721047173817 , 0.020781199285487134, 0.023598068893920826 , 0.24275878642044096  , 0.0018877995554211506 , 0.24319577075421694 , 0.24007616831343573  , 0.24503573920465754 , 127.15310565000036
C-DTLZs , C1DTLZ1  , DSOCOL   ,    5, 0.021916954546504552, 0.0013997019103793552, 0.02233033663711941  , 0.02010956181039067 , 0.02373099825648871  , 0.24336361984055369  , 0.0007165168895550297 , 0.2434836750139107  , 0.24236539591617695  , 0.24433541062409858 , 134.33694933340013
C-DTLZs , C1DTLZ1  , IMCMOEAD ,    5, 0.19991633676568588 , 0.07147417517932952  , 0.20487459858009563  , 0.12609213281625678 , 0.2687822789007052   , 0.08207134276367992  , 0.08124947096024751   , 0.09282610373418937 , 0.0                  , 0.18173161662833656 ,   5.319909108200045
DAS-CMOP, DASCMOP1 , APSEA    ,    5, 0.3541602884527313  , 0.029020041217627888 , 0.3504959480945921   , 0.31923776857357655 , 0.40008135282960844  , 0.2970513453735143   , 0.02174389099558223   , 0.2963484325486372  , 0.2674500828733959   , 0.3288830986026287  ,  58.400851075199895
DAS-CMOP, DASCMOP1 , CMOCSO   ,    5, 0.003656343438277579, 9.984006436362963e-05, 0.003654407705736201 , 0.003544601854092556, 0.0037708909776232066, 0.7627158363556006   , 0.00022557409092392147, 0.7628346083343975  , 0.7624530594835659   , 0.7629154030467855  , 172.15315335839986
DAS-CMOP, DASCMOP1 , DSOCOL   ,    5, 0.007101947938270303, 0.0009005555027897801, 0.0074821732294941354, 0.00553222271656965 , 0.007722415548891788 , 0.757600243869254    , 0.00026650673409427166, 0.7576706060510643  , 0.7572024331117853   , 0.7579078456511474  , 129.2014375833998
DAS-CMOP, DASCMOP1 , IMCMOEAD ,    5, 0.290949673079094   , 0.11286283623129457  , 0.3194035136912091   , 0.1055634050829272  , 0.40066225293327595  , 0.37921679147125226  , 0.152304967887618     , 0.3290812909561256  , 0.26727774735035514  , 0.6446392022069065  ,   4.6990395081997125
DAS-CMOP, DASCMOP7 , APSEA    ,    5, 2.1944518406081217  , 0.7166428035627068   , 2.30704423960171     , 1.3399194439011815  , 2.9002169091018266   , 0.0003646731038207126, 0.0008154338497089517 , 0.0                 , 0.0                  , 0.001823365519103563,  51.01181716659958
DAS-CMOP, DASCMOP7 , CMOCSO   ,    5, 2.2698874869551986  , 0.3532449696390331   , 2.2646531147153803   , 1.8809293490403833  , 2.8332535113029107   , 0.0                  , 0.0                   , 0.0                 , 0.0                  , 0.0                 , 169.35884003299998
DAS-CMOP, DASCMOP7 , DSOCOL   ,    5, 2.435376606072775   , 1.02543158464433     , 2.0515691504541675   , 1.6745259384221913  , 4.234471389288234    , 0.0                  , 0.0                   , 0.0                 , 0.0                  , 0.0                 , 118.67634327519973
DAS-CMOP, DASCMOP7 , IMCMOEAD ,    5, 1.5973871607263421  , 0.298215635644292    , 1.5899875341712713   , 1.2341470418882452  , 2.0432819349801234   , 0.0                  , 0.0                   , 0.0                 , 0.0                  , 0.0                 ,   5.091154091799945
DC-DTLZs, DC1DTLZ1 , APSEA    ,    5, 0.06692493509082317 , 0.005173169435557918 , 0.06468402911286085  , 0.060922551109983646, 0.07252518266029688  , 0.2050796817181113   , 0.0038114691261607525 , 0.20627725393807306 , 0.19996434657835505  , 0.2092056556408232  ,  60.537280049999026
DC-DTLZs, DC1DTLZ1 , CMOCSO   ,    5, 0.1048798595077852  , 0.06477591618698496  , 0.0652342779326575   , 0.06235338234752847 , 0.21125197018765376  , 0.1784607584925392   , 0.045028516034641176  , 0.20607471623531493 , 0.10392271545668796  , 0.2082531552104572  , 135.19557103320003
DC-DTLZs, DC1DTLZ1 , DSOCOL   ,    5, 0.07798599248518796 , 0.010396909453290186 , 0.08329340989372408  , 0.06637505256821628 , 0.08687487889928862  , 0.20178437958584614  , 0.004121127108562137  , 0.19894718320395902 , 0.19845218349652613  , 0.20651386245541753 , 119.07855810819983
DC-DTLZs, DC1DTLZ1 , IMCMOEAD ,    5, 0.19717097745574605 , 0.13589704474903802  , 0.1608669994400429   , 0.10702360462061689 , 0.43445242804814105  , 0.14039879738127267  , 0.0546082420834207    , 0.1475149730622951  , 0.05038418874345604  , 0.1867740735180213  ,   5.16469400820024
LIR-CMOP, LIRCMOP1 , APSEA    ,    5, 0.339674706798392   , 0.019603781490768437 , 0.33138923543602167  , 0.3210348344612505  , 0.3625057772566009   , 0.4285499382593204   , 0.04041476640428155   , 0.43225109962377795 , 0.36354931462530854  , 0.4741891350902457  ,  26.353043841399995
LIR-CMOP, LIRCMOP1 , CMOCSO   ,    5, 0.04959215289748873 , 0.02564173616147887  , 0.044605605433965356 , 0.024161351416835432, 0.09215355163294534  , 0.8127672765873756   , 0.03828976966141099   , 0.8200966545234861  , 0.7595353054930528   , 0.8577725086369856  ,  98.97340844179999
LIR-CMOP, LIRCMOP1 , DSOCOL   ,    5, 0.12674666600105983 , 0.035870112802057506 , 0.10793185913623886  , 0.09972116843312548 , 0.18545670276813062  , 0.645846762850241    , 0.04932713167918233   , 0.667954650584665   , 0.5634554765539281   , 0.6864205265665327  ,  56.43916030019991
LIR-CMOP, LIRCMOP1 , IMCMOEAD ,    5, 0.3680334309154259  , 0.030194382168579677 , 0.3535905391364823   , 0.33644249511359997 , 0.4024583497168073   , 0.40744015841813985  , 0.020155308850859494  , 0.41282533932692894 , 0.384460572257671    , 0.42804037839776704 ,   4.648758258400084
LIR-CMOP, LIRCMOP13, APSEA    ,    5, 1.3225912892225549  , 0.005081556803798275 , 1.3227143944634863   , 1.317770468903166   , 1.330238085304265    , 0.008764268107378037 , 0.0017173862056001628 , 0.008163217244370807, 0.007372403785092975 , 0.011656330228497226,  77.62412809180023
LIR-CMOP, LIRCMOP13, CMOCSO   ,    5, 0.11667815651672701 , 0.0034192946319465223, 0.11569134674703718  , 0.11335002061846408 , 0.12111817115599331  , 4.493050044324666    , 0.028604346753778653  , 4.481776864353079   , 4.473491221065676    , 4.5434548633096075  , 173.54272835859993
LIR-CMOP, LIRCMOP13, DSOCOL   ,    5, 1.3270318444494027  , 0.002955257667129542 , 1.3264417006012068   , 1.3248030969509998  , 1.3320330478195035   , 0.0076312983832780385, 0.004385984229284503  , 0.006141511470126119, 0.0036151347173106387, 0.01438336932823584 , 141.07142028339985
LIR-CMOP, LIRCMOP13, IMCMOEAD ,    5, 1.1792691032944684  , 0.4003772823697753   , 1.3580554114337122   , 0.4632172938471379  , 1.367155008262614    , 0.45865119962024314  , 1.0255752603126895    , 0.0                 , 0.0                  , 2.2932559981012157  ,   5.12895816679993
