Algorithm, Category, Problem  , Runs, IGD_Mean            , IGD_Std              , HV_Mean              , HV_Std                , Feas_Mean, Time_Mean
CMOCSO   , C-DTLZs , C1DTLZ1  ,    5, 0.02240192803129664 , 0.0011547737881082095, 0.24275878642044096  , 0.0016884992535262237 ,     100.0, 127.15310565000036
CMOCSO   , DC-DTLZs, DC1DTLZ1 ,    5, 0.1048798595077852  , 0.05793734075957094  , 0.1784607584925392   , 0.040274729111758785  ,     100.0, 135.19557103320003
CMOCSO   , DAS-CMOP, DASCMOP1 ,    5, 0.003656343438277579, 8.929966831801207e-05, 0.7627158363556006   , 0.00020175960050743683,     100.0, 172.15315335839986
CMOCSO   , DAS-CMOP, DASCMOP7 ,    5, 2.2698874869551986  , 0.31595190592909095  , 0.0                  , 0.0                   ,     100.0, 169.35884003299998
CMOCSO   , LIR-CMOP, LIRCMOP1 ,    5, 0.04959215289748874 , 0.02293466604727251  , 0.8127672765873756   , 0.034247411122289635  ,     100.0,  98.97340844179999
CMOCSO   , LIR-CMOP, LIRCMOP13,    5, 0.11667815651672701 , 0.00305831009285302  , 4.493050044324666    , 0.025584505517369693  ,     100.0, 173.54272835859993
DSOCOL   , C-DTLZs , C1DTLZ1  ,    5, 0.021916954546504552, 0.001251931447937823 , 0.24336361984055369  , 0.0006408721888287155 ,      94.6, 134.33694933340013
DSOCOL   , DC-DTLZs, DC1DTLZ1 ,    5, 0.07798599248518798 , 0.009299278517386813 , 0.20178437958584614  , 0.003686048143464837  ,      91.6, 119.07855810819983
DSOCOL   , DAS-CMOP, DASCMOP1 ,    5, 0.007101947938270303, 0.0008054813286997799, 0.757600243869254    , 0.0002383708695585014 ,      95.6, 129.2014375833998
DSOCOL   , DAS-CMOP, DASCMOP7 ,    5, 2.435376606072775   , 0.9171738918160207   , 0.0                  , 0.0                   ,      85.2, 118.67634327519973
DSOCOL   , LIR-CMOP, LIRCMOP1 ,    5, 0.12674666600105983 , 0.03208320423439442  , 0.645846762850241    , 0.044119527827894016  ,      13.2,  56.43916030019991
DSOCOL   , LIR-CMOP, LIRCMOP13,    5, 1.3270318444494027  , 0.0026432628138916294, 0.0076312983832780385, 0.003922943553968869  ,     100.0, 141.07142028339985
IMCMOEAD , C-DTLZs , C1DTLZ1  ,    5,                     ,                      , 0.0820713427636799   , 0.0726717360812034    ,      31.4,   5.319909108200045
IMCMOEAD , DC-DTLZs, DC1DTLZ1 ,    5, 0.19717097745574605 , 0.12155001200007196  , 0.1403987973812727   , 0.04884309657211737   ,      71.2,   5.16469400820024
IMCMOEAD , DAS-CMOP, DASCMOP1 ,    5, 0.290949673079094   , 0.10094758957864032  , 0.37921679147125226  , 0.13622570460305455   ,      73.4,   4.6990395081997125
IMCMOEAD , DAS-CMOP, DASCMOP7 ,    5, 1.5973871607263423  , 0.26673217330157845  , 0.0                  , 0.0                   ,      55.8,   5.091154091799945
IMCMOEAD , LIR-CMOP, LIRCMOP1 ,    5, 0.3680334309154259  , 0.027006676427020676 , 0.40744015841813985  , 0.018027456279210003  ,      22.8,   4.648758258400084
IMCMOEAD , LIR-CMOP, LIRCMOP13,    5, 1.1792691032944684  , 0.3581083280101783   , 0.45865119962024314  , 0.9173023992404863    ,      66.4,   5.12895816679993
APSEA    , C-DTLZs , C1DTLZ1  ,    5, 0.02305267271419683 , 0.0017618963675506425, 0.23944330100304909  , 0.003637439115314473  ,     100.0,  53.381430441799964
APSEA    , DC-DTLZs, DC1DTLZ1 ,    5, 0.06692493509082317 , 0.004627023406812684 , 0.2050796817181113   , 0.0034090816240948682 ,     100.0,  60.537280049999026
APSEA    , DAS-CMOP, DASCMOP1 ,    5, 0.3541602884527313  , 0.025956313948984688 , 0.29705134537351435  , 0.019448327344586985  ,     100.0,  58.400851075199895
APSEA    , DAS-CMOP, DASCMOP7 ,    5, 2.1944518406081217  , 0.6409848097408964   , 0.0003646731038207126, 0.0007293462076414252 ,      99.6,  51.01181716659958
APSEA    , LIR-CMOP, LIRCMOP1 ,    5, 0.339674706798392   , 0.017534155211764164 , 0.4285499382593204   , 0.03614806598989931   ,     100.0,  26.353043841399995
APSEA    , LIR-CMOP, LIRCMOP13,    5, 1.3225912892225549  , 0.004545082577927806 , 0.008764268107378037 , 0.0015360769197369578 ,     100.0,  77.62412809180023
