Category,Problem,Algorithm,IGD_Mean,IGD_Std,IGD_Rank,IGD_PValue,IGD_Symbol,HV_Mean,HV_Std,HV_Rank,HV_PValue,HV_Symbol
C-DTLZs,C1DTLZ1,DSOCOL,0.02191695454650455,0.001251931447937823,1,1.0,=,0.2433636198405537,0.0006408721888287154,1,1.0,=
C-DTLZs,C1DTLZ1,APSEA,0.02305267271419683,0.0017618963675506425,3,0.46470209994046485,=,0.23944330100304909,0.003637439115314473,3,0.11718508719813799,=
C-DTLZs,C1DTLZ1,CMOCSO,0.02240192803129664,0.0011547737881082095,2,0.6015081344405899,=,0.24275878642044096,0.0016884992535262237,2,0.7540225300620748,=
C-DTLZs,C1DTLZ1,IMCMOEAD,0.19991633676568588,0.058358419658551895,4,0.009023438818080326,+,0.08207134276367992,0.07267173608120342,4,0.009023438818080326,+
DC-DTLZs,DC1DTLZ1,DSOCOL,0.07798599248518798,0.009299278517386812,2,1.0,=,0.20178437958584614,0.003686048143464837,2,1.0,=
DC-DTLZs,DC1DTLZ1,APSEA,0.06692493509082317,0.004627023406812685,1,0.07580017458236125,=,0.2050796817181113,0.0034090816240948682,1,0.11718508719813799,=
DC-DTLZs,DC1DTLZ1,CMOCSO,0.1048798595077852,0.05793734075957094,3,0.6015081344405899,=,0.1784607584925392,0.040274729111758785,3,0.9168149485280885,=
DC-DTLZs,DC1DTLZ1,IMCMOEAD,0.19717097745574605,0.12155001200007196,4,0.009023438818080326,+,0.1403987973812727,0.04884309657211737,4,0.009023438818080326,+
DAS-CMOP,DASCMOP1,DSOCOL,0.007101947938270303,0.0008054813286997799,2,1.0,=,0.757600243869254,0.0002383708695585014,2,1.0,=
DAS-CMOP,DASCMOP1,APSEA,0.3541602884527313,0.025956313948984688,4,0.009023438818080326,+,0.29705134537351435,0.019448327344586985,4,0.009023438818080326,+
DAS-CMOP,DASCMOP1,CMOCSO,0.003656343438277579,8.929966831801207e-05,1,0.009023438818080326,-,0.7627158363556006,0.00020175960050743683,1,0.009023438818080326,-
DAS-CMOP,DASCMOP1,IMCMOEAD,0.29094967307909403,0.10094758957864033,3,0.009023438818080326,+,0.37921679147125226,0.13622570460305455,3,0.009023438818080326,+
DAS-CMOP,DASCMOP7,DSOCOL,2.435376606072775,0.9171738918160207,4,1.0,=,0.0,0.0,2,1.0,=
DAS-CMOP,DASCMOP7,APSEA,2.1944518406081213,0.6409848097408964,2,0.9168149485280885,=,0.0003646731038207126,0.0007293462076414252,1,0.6015081344405899,=
DAS-CMOP,DASCMOP7,CMOCSO,2.269887486955199,0.3159519059290909,3,0.46470209994046485,=,0.0,0.0,3,1.0,=
DAS-CMOP,DASCMOP7,IMCMOEAD,1.5973871607263423,0.26673217330157845,1,0.02828012256827696,-,0.0,0.0,4,1.0,=
LIR-CMOP,LIRCMOP1,DSOCOL,0.12674666600105983,0.03208320423439442,2,1.0,=,0.645846762850241,0.044119527827894016,2,1.0,=
LIR-CMOP,LIRCMOP1,APSEA,0.33967470679839196,0.017534155211764164,3,0.009023438818080326,+,0.4285499382593204,0.03614806598989931,3,0.009023438818080326,+
LIR-CMOP,LIRCMOP1,CMOCSO,0.04959215289748873,0.02293466604727251,1,0.009023438818080326,-,0.8127672765873755,0.034247411122289635,1,0.009023438818080326,-
LIR-CMOP,LIRCMOP1,IMCMOEAD,0.36803343091542595,0.02700667642702068,4,0.009023438818080326,+,0.40744015841813985,0.018027456279210003,4,0.009023438818080326,+
LIR-CMOP,LIRCMOP13,DSOCOL,1.3270318444494027,0.0026432628138916294,4,1.0,=,0.0076312983832780385,0.003922943553968869,4,1.0,=
LIR-CMOP,LIRCMOP13,APSEA,1.3225912892225549,0.004545082577927806,3,0.07580017458236125,=,0.008764268107378037,0.0015360769197369575,3,0.46470209994046485,=
LIR-CMOP,LIRCMOP13,CMOCSO,0.11667815651672701,0.00305831009285302,1,0.009023438818080326,-,4.493050044324666,0.025584505517369693,1,0.009023438818080326,-
LIR-CMOP,LIRCMOP13,IMCMOEAD,1.1792691032944684,0.3581083280101783,2,0.11718508719813799,=,0.45865119962024314,0.9173023992404863,2,0.11718508719813799,=
