algorithm,problem,seed,eval_count,elapsed_time,n_feasible_nd,igd,hv
C3M,C1DTLZ1,42,100000,46.336307874997146,100,0.021601374780405573,0.24484205478454357
C3M,C1DTLZ3,42,100000,132.4870811669971,99,8.112574144189082,0.0
C3M,C2DTLZ2,42,100000,76.19233737501781,100,0.04970529554200768,1.0510191533764917
C3M,C3DTLZ4,42,100000,164.6535029580118,100,0.1068982678986863,9.812720666035183
C3M,DC1DTLZ1,42,100000,109.53734824998537,100,6.5435719524901845,0.0
C3M,DC1DTLZ3,42,100000,117.26688150002155,100,0.2302684087580859,0.931863482566182
C3M,DC2DTLZ1,42,100000,64.36258158402052,100,0.027467601250470753,0.2437647301524232
C3M,DC2DTLZ3,42,100000,46.8983187500271,100,0.1613476936235524,0.8434846355963292
C3M,DC3DTLZ1,42,100000,109.75053729204228,100,0.2175961443044414,0.11921308514835112
C3M,DC3DTLZ3,42,100000,112.12736600002972,100,0.11782958244274075,1.0020047541728225
C3M,DASCMOP1,42,100000,526.7071453339886,100,0.005231690836643631,0.7602983391252399
C3M,DASCMOP2,42,100000,502.4121692919871,100,0.004626098584891644,1.0946922039573457
C3M,DASCMOP3,42,100000,482.7460059580044,100,0.0021711405291427073,1.0011019683733546
C3M,DASCMOP4,42,100000,550.9315107080038,21,3.477391438636164,0.0
C3M,DASCMOP5,42,100000,586.519243207993,100,0.0073012676359787655,1.0877854935004097
C3M,DASCMOP6,42,100000,555.4923652500147,55,0.10569099051145943,0.8133895414099602
C3M,DASCMOP7,42,100000,376.7927172079799,100,0.06829633063067941,1.3643053413356918
C3M,DASCMOP8,42,100000,363.6658339169808,100,0.06564000850904048,1.048652629310917
C3M,DASCMOP9,42,100000,335.4706847089692,100,0.05976803693657353,1.0823919570534764
C3M,LIRCMOP1,42,100000,49.00539662496885,100,0.23246183680160792,0.488178963316175
C3M,LIRCMOP2,42,100000,48.75374174996978,100,0.1983372286014573,0.9736049382885884
C3M,LIRCMOP3,42,100000,72.72893899999326,100,0.35047216045637997,0.3647747068004174
C3M,LIRCMOP4,42,100000,65.45234691700898,100,0.10763267556199504,0.8669866325492824
C3M,LIRCMOP5,42,100000,165.3445318339509,100,0.17710051607760566,1.0562933897173812
C3M,LIRCMOP6,42,100000,152.80398537503788,100,0.013724756715710773,0.9218577715633235
C3M,LIRCMOP7,42,100000,184.10003716603387,100,0.008512952285422475,2.4181551991450294
C3M,LIRCMOP8,42,100000,174.7763297079946,100,0.008125723800698766,2.4181928881905494
C3M,LIRCMOP9,42,100000,153.65791766700568,100,0.4842176972833829,2.209528678641684
C3M,LIRCMOP10,42,100000,153.92288666701643,100,0.014111299188094456,2.914709775714701
C3M,LIRCMOP11,42,100000,126.39032641699305,100,0.004856105737310448,3.892330975559369
C3M,LIRCMOP12,42,100000,129.96636924997438,100,0.16741648412057897,4.267931977491178
C3M,LIRCMOP13,42,100000,152.75583837501472,100,0.1616145651203877,4.1965466391210295
C3M,LIRCMOP14,42,100000,177.808535249962,100,0.11589532806181727,4.887308904822962
